object_id,profile_classification_id,object_type
xx1550196298391942115,xx1587539204695329635,1
xx1550196317610859486,xx1587539204695329635,1
xx1550196351985338703,xx1587539204695329635,1
xx1550196364127905431,xx1587539204695329635,1
xx1550196396938467038,xx1587539204695329635,1
xx1550202906814684556,xx1604907514869659865,0
xx1550233207927038376,xx1604907514869659865,0
xx1550288423910471975,xx1589187904535115063,0
xx1550291116905932041,xx1589187904535115063,0
xx1550464995800179593,xx1589187904535115063,0
xx1550465090850039309,xx1589187904535115063,0
xx1550472389929663371,xx1589187904535115063,0
xx1550547418195274714,xx1589187904535115063,0
xx1550550344621482542,xx1589187904535115063,0
xx1550742391670344042,xx1589187904535115063,0
xx1550742391670344042,xx1587543388579985201,0
xx1550986522656840509,xx1587543452121029657,1
xx1551241431553670230,xx1589187904535115063,0
xx1551428666095257456,xx1589187904535115063,0
xx1551431719146602875,xx1589187904535115063,0
xx1552290669804254071,xx1589187904535115063,0
xx1552359753115006818,xx1589187904535115063,0
xx1552446338516626020,xx1589187904535115063,0
xx1552692704344864884,xx1589187904535115063,0
xx1552878131443789722,xx1604907514869659865,0
xx1552888645370481599,xx1589187904535115063,0
xx1553070448937241895,xx1589187904535115063,0
xx1553159130113188463,xx1589187904535115063,0
xx1553247232411395916,xx1589187904535115063,0
xx1553448234846360394,xx1604907514869659865,0
xx1554292616121728431,xx1589187904535115063,0
xx1554352854110146735,xx1589187904535115063,0
xx1554437731760865696,xx1589187904535115063,0
xx1554867495396671939,xx1589187904535115063,0
xx1554960081194616980,xx1589187904535115063,0
xx1554964920574790426,xx1587539503986352569,0
xx1555076273921146675,xx1587539503986352569,0
xx1555149590378824441,xx1589187904535115063,0
xx1555317170278663208,xx1589187904535115063,0
xx1555579691851903989,xx1589187904535115063,0
xx1556007563461025083,xx1587539503986352569,0
xx1556013974963528377,xx1589187904535115063,0
xx1556082232953760936,xx1589187904535115063,0
xx1556244379480436279,xx1587539503986352569,0
xx1556556930568276919,xx1589187904535115063,0
xx1556587553240781836,xx1589187904535115063,0
xx1557117099103966785,xx1589187904535115063,0
xx1557222164111209351,xx1589187904535115063,0
xx1557300388646642410,xx1589187904535115063,0
xx1557468852762581684,xx1589187904535115063,0
xx1557488165358483045,xx1589187904535115063,0
xx1557727494498905123,xx1589187904535115063,0
xx1557807458601569611,xx1589187904535115063,0
xx1558062598538914961,xx1589187904535115063,0
xx1558328750474694511,xx1589187904535115063,0
xx1558330763466400668,xx1589187904535115063,0
xx1558422537442207320,xx1604907514869659865,0
xx1558590967443203866,xx1604907514869659865,0
xx1558662141600417961,xx1589187904535115063,0
xx1558665694166916358,xx1604907514869659865,0
xx1558942092314975483,xx1589187904535115063,0
xx1559628061974744982,xx1589187904535115063,0
xx1560149519232747417,xx1589187904535115063,0
xx1560165699221017891,xx1589187904535115063,0
xx1560349575828081242,xx1604907514869659865,0
xx1560416235800410343,xx1589187904535115063,0
xx1560839204372603384,xx1604907514869659865,0
xx1560839204372603384,xx1589187904535115063,0
xx1560896584266481951,xx1587539503986352569,0
xx1560934327280458506,xx1587539503986352569,0
xx1561370358013899162,xx1589187904535115063,0
xx1561444834695275825,xx1589187904535115063,0
xx1561953072099485145,xx1589187904535115063,0
xx1561973716227065160,xx1589187904535115063,0
xx1562135392475617796,xx1589187904535115063,0
xx1562321191825394158,xx1589187904535115063,0
xx1562730397599212535,xx1589187904535115063,0
xx1562912427878598966,xx1589187904535115063,0
xx1563258656984818559,xx1589187904535115063,0
xx1563340025205883702,xx1587540480407065854,0
xx1563433799351755910,xx1587539503986352569,0
xx1563772176710321443,xx1589187904535115063,0
xx1563882725247557663,xx1587540480407065854,0
xx1564015277066536888,xx1589187904535115063,0
xx1564042876851846373,xx1604907514869659865,0
xx1564114762775883992,xx1587539503986352569,0
xx1564204149736332015,xx1589187904535115063,0
xx1564404964937056222,xx1589187904535115063,0
xx1564469257977042482,xx1589187904535115063,0
xx1564529795421251761,xx1589187904535115063,0
xx1564561107599783470,xx1589187904535115063,0
xx1564579314051244006,xx1589187904535115063,0
xx1564644349571782628,xx1589187904535115063,0
xx1564722228602199012,xx1604907514869659865,0
xx1564731661834566973,xx1589187904535115063,0
xx1565087765955584590,xx1589187904535115063,0
xx1565254038393254603,xx1604907514869659865,0
xx1565275343288531833,xx1589187904535115063,0
xx1565323992148475337,xx1589187904535115063,0
xx1565324011562256775,xx1589187904535115063,0
xx1565335039715050188,xx1587544785427558626,0
xx1565337184314720526,xx1589187904535115063,0
xx1565342046276236556,xx1589187904535115063,0
xx1565759891127321097,xx1589187904535115063,0
xx1565931490714500417,xx1589187904535115063,0
xx1566564543907127686,xx1604907514869659865,0
xx1566658193412402526,xx1604907514869659865,0
xx1566810022639411840,xx1589187904535115063,0
xx1566860806206276638,xx1604907514869659865,0
xx1566891748374900154,xx1587539503986352569,0
xx1566905093206438486,xx1587539503986352569,0
xx1567159329677314972,xx1587543326052132002,1
xx1567481288862124417,xx1604907514869659865,0
xx1568025072956626201,xx1589187904535115063,0
xx1568104759402149650,xx1589187904535115063,0
xx1568104779302543555,xx1589187904535115063,0
xx1568185714470859069,xx1589187904535115063,0
xx1568433680266696872,xx1604907514869659865,0
xx1568619306861981158,xx1589187904535115063,0
xx1568802983960751121,xx1589187904535115063,0
xx1568958140071801251,xx1589187904535115063,0
xx1568958281586185791,xx1589187904535115063,0
xx1568993835955045491,xx1604907514869659865,0
xx1569221207073904644,xx1604907514869659865,0
xx1569476117815993870,xx1589187904535115063,0
xx1569820312222437515,xx1589187904535115063,0
xx1569822095041844119,xx1589187904535115063,0
xx1569832999102392952,xx1589187904535115063,0
xx1569845696136085117,xx1604907514869659865,0
xx1569900109646549362,xx1589187904535115063,0
xx1570094692838783548,xx1589187904535115063,0
xx1570170400786880296,xx1587539503986352569,0
xx1570528972295608104,xx1589187904535115063,0
xx1570783164593201703,xx1604907514869659865,0
xx1570803728126160676,xx1589187904535115063,0
xx1571125277769579095,xx1587539204695329635,1
xx1571138584552430409,xx1587544785427558626,0
xx1571224053448926586,xx1589187904535115063,0
xx1571465638643841735,xx1589187904535115063,0
xx1571902980937543085,xx1604907514869659865,0
xx1572319196423029714,xx1589187904535115063,0
xx1572425076691087993,xx1604907514869659865,0
xx1572520006443687688,xx1587544785427558626,0
xx1572602768772490703,xx1589187904535115063,0
xx1573183211008683580,xx1589187904535115063,0
xx1573199172084547309,xx1589187904535115063,0
xx1573805718176626634,xx1589187904535115063,0
xx1573906910118596524,xx1604907514869659865,0
xx1574142442550425262,xx1589187904535115063,0
xx1574395720823902092,xx1589187904535115063,0
xx1574650886348994111,xx1589187904535115063,0
xx1574666846353671186,xx1589187904535115063,0
xx1574846115696750391,xx1604907514869659865,0
xx1575009890412505859,xx1589187904535115063,0
xx1575812560611860494,xx1589187904535115063,0
xx1576827290094642078,xx1589187904535115063,0
xx1577331914519415199,xx1604907514869659865,0
xx1577443927439608004,xx1589187904535115063,0
xx1578295628888401188,xx1589187904535115063,0
xx1578386070570814509,xx1587543361282748034,0
xx1578386347451371404,xx1587543361282748034,0
xx1578927521192156210,xx1589187904535115063,0
xx1579231516831984089,xx1589187904535115063,0
xx1579347188707923966,xx1589187904535115063,0
xx1580275138844658549,xx1587543361282748034,0
xx1580375540135113007,xx1589187904535115063,0
xx1580441324146718848,xx1589187904535115063,0
xx1580449159008432233,xx1589187904535115063,0
xx1580663920967550282,xx1589187904535115063,0
xx1580884440114046442,xx1589187904535115063,0
xx1580980278145858329,xx1587540480407065854,0
xx1581050157885513409,xx1589187904535115063,0
xx1581062480055080219,xx1587544785427558626,0
xx1581084107819091808,xx1587544785427558626,0
xx1581084126376445786,xx1587544785427558626,0
xx1581084144152923024,xx1587544785427558626,0
xx1581084584962967291,xx1587544785427558626,0
xx1581084733698985234,xx1587544785427558626,0
xx1581091462369964247,xx1587544785427558626,0
xx1581091679058452817,xx1587544785427558626,0
xx1581091824490040274,xx1587544785427558626,0
xx1581289530552517647,xx1587544785427558626,0
xx1581289674787596857,xx1587544785427558626,0
xx1581305324814826587,xx1587539503986352569,0
xx1581310748148543714,xx1587539503986352569,0
xx1581316598322892632,xx1587544785427558626,0
xx1581316689592838501,xx1587544785427558626,0
xx1581318352548964899,xx1587544785427558626,0
xx1581319053535424355,xx1587544785427558626,0
xx1581320413661493368,xx1587539503986352569,0
xx1581323006643350131,xx1587544785427558626,0
xx1581323044852083109,xx1587544785427558626,0
xx1581323079842877830,xx1587544785427558626,0
xx1581329083686033873,xx1587544785427558626,0
xx1581329457182200262,xx1587544785427558626,0
xx1581329630141488243,xx1587544785427558626,0
xx1581329732737079813,xx1587544785427558626,0
xx1581332203327315963,xx1587544785427558626,0
xx1581332549041111756,xx1589187904535115063,0
xx1581332656943572044,xx1587544785427558626,0
xx1581333176142674575,xx1587544785427558626,0
xx1581333657498629447,xx1587544785427558626,0
xx1581391671030909337,xx1587540480407065854,0
xx1581391800603890055,xx1587540480407065854,0
xx1581395023969399468,xx1587540480407065854,0
xx1581395494929108849,xx1587540480407065854,0
xx1581396141394995565,xx1587544785427558626,0
xx1581402042440018430,xx1587544785427558626,0
xx1581569385312124991,xx1589187904535115063,0
xx1581584982494359660,xx1587540480407065854,0
xx1581753218779254768,xx1604907514869659865,0
xx1581934652964091646,xx1589187904535115063,0
xx1582029533145383726,xx1589187904535115063,0
xx1582110994001804846,xx1604907514869659865,0
xx1582519038571876119,xx1587544785427558626,0
xx1582892095055615275,xx1589187904535115063,0
xx1583134329665744243,xx1604907514869659865,0
xx1583135130782544812,xx1604907514869659865,0
xx1583396428346596587,xx1589187904535115063,0
xx1583756692553791926,xx1589187904535115063,0
xx1583843256485783094,xx1587539688897295603,1
xx1583998409191453523,xx1589187904535115063,0
xx1584507662743233633,xx1589187904535115063,0
xx1584934638055213551,xx1587539503986352569,0
xx1584943443357110372,xx1589187904535115063,0
xx1585807622619937375,xx1589187904535115063,0
xx1586168496614280518,xx1589187904535115063,0
xx1586169940594901391,xx1589187904535115063,0
xx1586170463034201484,xx1589187904535115063,0
xx1586341295042122275,xx1604907514869659865,0
xx1586609303365048030,xx1587539204695329635,1
xx1586779767149014413,xx1589187904535115063,0
xx1587122047391956976,xx1604907514869659865,0
xx1587277427315432558,xx1604907514869659865,0
xx1587441144287227970,xx1587544785427558626,0
xx1587441363530720001,xx1587544785427558626,0
xx1587706076368723055,xx1587539503986352569,0
xx1587976829469055087,xx1589187904535115063,0
xx1588153198816684618,xx1589187904535115063,0
xx1588302923902494464,xx1589187904535115063,0
xx1588389845084552492,xx1604907514869659865,0
xx1588831099455465466,xx1604907514869659865,0
xx1588911572860400082,xx1604907514869659865,0
xx1589170193565847032,xx1604907514869659865,0
xx1589180055554826358,xx1604907514869659865,0
xx1589785951932225625,xx1587544785427558626,0
xx1590254744122279870,xx1604907514869659865,0
xx1590640632002492463,xx1587539503986352569,0
xx1590643795231311185,xx1587539503986352569,0
xx1591600508646172561,xx1604907514869659865,0
xx1592468072865689001,xx1604907514869659865,0
xx1593567323489588134,xx1604907514869659865,0
xx1594105135888192374,xx1604907514869659865,0
xx1594268751667834068,xx1604907514869659865,0
xx1596779924860441936,xx1604907514869659865,0
xx1597046360040893436,xx1587544785427558626,0
xx1597048657014661232,xx1587544785427558626,0
xx1597224086692256853,xx1604907514869659865,0
xx1597288404097053360,xx1587544785427558626,0
xx1597998184074370744,xx1604907514869659865,0
xx1598256269834440982,xx1604907514869659865,0
xx1598412161328737404,xx1604907514869659865,0
xx1599043146721363245,xx1590736844752576238,0
xx15997446,xx1589187904535115063,0
xx15997590,xx1589187904535115063,0
xx1599792783061953283,xx1604907514869659865,0
xx1599885208834561131,xx1604907514869659865,0
xx1599921157720362998,xx1604907514869659865,0
xx1599971574900650884,xx1604907514869659865,1
xx1600229501613852674,xx1604907514869659865,0
xx1601533483130946445,xx1604907514869659865,0
xx1601543337342288503,xx1604907514869659865,0
xx1601608917537324005,xx1604907514869659865,1
xx1601986600283192832,xx1604907514869659865,0
xx1602488751614054526,xx1604907514869659865,0
xx1602570614601794036,xx1604907514869659865,0
xx1603489066018108268,xx1604907514869659865,0
xx1604286614388790906,xx1604907514869659865,0
xx1604559739803459428,xx1587544785427558626,0
xx1606284685361672955,xx1604907514869659865,0
xx1606369639317760634,xx1604907514869659865,0
xx1606724705777517910,xx1604907514869659865,0
xx1606826386851454479,xx1604907514869659865,0
xx1606877300218269674,xx1604907514869659865,0
xx1606985593143140061,xx1604907514869659865,0
xx1607065370824976152,xx1604907514869659865,0
xx1607068535750398307,xx1604907514869659865,0
xx1607263427608328997,xx1604907514869659865,0
xx1607882342261593799,xx1604907514869659865,0
xx1607916770571917671,xx1604907514869659865,0
xx1607928859870769245,xx1604907514869659865,0
xx1607946194062999594,xx1604907514869659865,0
xx1607952109982391289,xx1604907514869659865,0
xx1608003088587939799,xx1587544785427558626,0
xx1608025419339650406,xx1604907514869659865,0
xx1608133421689046150,xx1604907514869659865,0
xx1608549709523090362,xx1604907514869659865,0
xx1608617056766487539,xx1604907514869659865,0
xx1608643248842593459,xx1604907514869659865,0
xx1608864149021314289,xx1604907514869659865,0
xx1609214908680495726,xx1604907514869659865,0
xx16871000,xx1589187904535115063,0
xx16871876,xx1589187904535115063,0
xx19242414,xx1589187904535115063,0
xx19242667,xx1589187904535115063,0
xx20993142,xx1589187904535115063,0
xx214027536,xx1587539503986352569,0
xx22251320,xx1589187904535115063,0
xx24312289,xx1589187904535115063,0
xx25304922,xx1589187904535115063,0
xx27431110790314769,xx1590736844752576238,0
xx27431110790314769,xx1589187904535115063,0
xx27431110790314789,xx1589187904535115063,0
xx27431110790314867,xx1589187904535115063,0
xx27431110790331481,xx1589187904535115063,0
xx27431110790331664,xx1589187904535115063,0
xx27431110790331908,xx1589187904535115063,0
xx27431110790331910,xx1589187904535115063,0
xx27431110790336470,xx1589187904535115063,0
xx27431110790337423,xx1589187904535115063,0
xx27431110790341971,xx1604907514869659865,0
xx27431110790344394,xx1589187904535115063,0
xx27431110790350914,xx1604907514869659865,0
xx27431110790355723,xx1589187904535115063,0
xx27431110790364868,xx1589187904535115063,0
xx27431110790368520,xx1589187904535115063,0
xx27431110790383627,xx1589187904535115063,0
xx27431110790389033,xx1604907514869659865,0
xx27431110790404106,xx1604907514869659865,0
xx27431110790407293,xx1604907514869659865,0
xx27431110790412047,xx1589187904535115063,0
xx27431110790413024,xx1589187904535115063,0
xx27431110790419133,xx1589187904535115063,0
xx27431110790436735,xx1589187904535115063,0
xx27431110790439572,xx1589187904535115063,0
xx27431110790457422,xx1589187904535115063,0
xx27431110790458058,xx1589187904535115063,0
xx27431110790470323,xx1589187904535115063,0
xx27431110790488358,xx1589187904535115063,0
xx27431110790490074,xx1604907514869659865,0
xx27431110790502364,xx1589187904535115063,0
xx27431110790504396,xx1589187904535115063,0
xx27431110790515410,xx1589187904535115063,0
xx27431110790525325,xx1589187904535115063,0
xx27431110790525611,xx1589187904535115063,0
xx27431110790531443,xx1604907514869659865,0
xx27431110790531811,xx1589187904535115063,0
xx27431110790531892,xx1604907514869659865,0
xx27431110790532010,xx1589187904535115063,0
xx27431110790543036,xx1589187904535115063,0
xx27431110790558516,xx1589187904535115063,0
xx27431110790559997,xx1587539503986352569,0
xx27431110790602135,xx1589187904535115063,0
xx27431110790604059,xx1589187904535115063,0
xx27431110790609785,xx1589187904535115063,0
xx27431110790640269,xx1604907514869659865,0
xx27431110790662274,xx1589187904535115063,0
xx27431110790707773,xx1604907514869659865,0
xx27431110790708690,xx1587539503986352569,0
xx27431110790709490,xx1589187904535115063,0
xx27431110790710379,xx1589187904535115063,0
xx27431110790710552,xx1589187904535115063,0
xx27431110790712466,xx1589187904535115063,0
xx27431110790720362,xx1589187904535115063,0
xx27431110790720986,xx1589187904535115063,0
xx27431110790722957,xx1589187904535115063,0
xx27431110790729446,xx1587539503986352569,0
xx27431110790742336,xx1589187904535115063,0
xx27431110790743277,xx1589187904535115063,0
xx27431110790744340,xx1604907514869659865,0
xx27431110790746888,xx1604907514869659865,0
xx27431110790754274,xx1589187904535115063,0
xx27431110790763316,xx1587539503986352569,0
xx27431110790768053,xx1604907514869659865,0
xx27431110790770715,xx1604907514869659865,0
xx27431110790774694,xx1589187904535115063,0
xx27431110790774956,xx1589187904535115063,0
xx27431110790779396,xx1604907514869659865,0
xx27431110790783651,xx1604907514869659865,0
xx27431110790784918,xx1589187904535115063,0
xx27431110790785385,xx1604907514869659865,0
xx27431110790790915,xx1589187904535115063,0
xx27431110790790961,xx1589187904535115063,0
xx27431110790797267,xx1589187904535115063,0
xx27431110790806006,xx1589187904535115063,0
xx27431110790811268,xx1589187904535115063,0
xx27431110790814594,xx1587544785427558626,0
xx27431110790814615,xx1587544785427558626,0
xx27431110790814623,xx1587544785427558626,0
xx27431110790815266,xx1604907514869659865,0
xx27431110790815514,xx1589187904535115063,0
xx27431110790815559,xx1589187904535115063,0
xx27431110790817190,xx1589187904535115063,0
xx27431110790818560,xx1587544785427558626,0
xx27431110790823316,xx1589187904535115063,0
xx27431110790823445,xx1589187904535115063,0
xx27431110790823944,xx1604907514869659865,0
xx27431110790827674,xx1589187904535115063,0
xx27431110790827742,xx1589187904535115063,0
xx27431110790833609,xx1587539503986352569,0
xx27431110790837798,xx1589187904535115063,0
xx27431110790840018,xx1604907514869659865,0
xx27431110790841477,xx1589187904535115063,0
xx27431110790843300,xx1604907514869659865,0
xx27431110790845046,xx1604907514869659865,0
xx27431110790848265,xx1589187904535115063,0
xx27431110790855547,xx1589187904535115063,0
xx27431110790868676,xx1589187904535115063,0
xx27431110790873564,xx1589187904535115063,0
xx27431110790881528,xx1589187904535115063,0
xx27431110790898751,xx1587543452121029657,0
xx27431110790900597,xx1589187904535115063,0
xx27431110790903374,xx1589187904535115063,0
xx27431110790903395,xx1589187904535115063,0
xx27431110790903609,xx1589187904535115063,0
xx27431110790906283,xx1589187904535115063,0
xx27431110790909432,xx1604907514869659865,0
xx27431110790919942,xx1587543361282748034,0
xx27431110790920355,xx1587544785427558626,0
xx27431110790920363,xx1587543361282748034,0
xx27431110790920383,xx1589187904535115063,0
xx27431110790920389,xx1587543361282748034,0
xx27431110790920420,xx1587543361282748034,0
xx27431110790928551,xx1587543361282748034,0
xx27431110790928618,xx1589187904535115063,0
xx27431110790931621,xx1604907514869659865,0
xx27431110790938607,xx1589187904535115063,0
xx27431110790939745,xx1604907514869659865,0
xx27431110790942121,xx1604907514869659865,0
xx27431110790942269,xx1589187904535115063,0
xx27431110790944213,xx1589187904535115063,0
xx27431110790944570,xx1589187904535115063,0
xx27431110790944633,xx1589187904535115063,0
xx27431110790947387,xx1589187904535115063,0
xx27431110790947607,xx1589187904535115063,0
xx27431110790948253,xx1589187904535115063,0
xx27431110790948307,xx1589187904535115063,0
xx27431110790948505,xx1589187904535115063,0
xx27431110790956022,xx1589187904535115063,0
xx27431110790971493,xx1587540480407065854,0
xx27431110790971905,xx1589187904535115063,0
xx27431110790979118,xx1589187904535115063,0
xx27431110790984174,xx1589187904535115063,0
xx27431110790991803,xx1604907514869659865,0
xx27431110790993388,xx1589187904535115063,0
xx27431110790993693,xx1604907514869659865,0
xx27431110790995102,xx1589187904535115063,0
xx27431110790996204,xx1589187904535115063,0
xx27431110791000696,xx1604907514869659865,0
xx27431110791004223,xx1589187904535115063,0
xx27431110791008738,xx1589187904535115063,0
xx27431110791009167,xx1589187904535115063,0
xx27431110791010334,xx1589187904535115063,0
xx27431110791011807,xx1604907514869659865,0
xx27431110791015422,xx1589187904535115063,0
xx27431110791017914,xx1589187904535115063,0
xx27431110791035731,xx1589187904535115063,0
xx27431110791035913,xx1589187904535115063,0
xx27431110791039179,xx1589187904535115063,0
xx27431110791042851,xx1589187904535115063,0
xx27431110791043151,xx1589187904535115063,0
xx27431110791044362,xx1589187904535115063,0
xx27431110791049834,xx1589187904535115063,0
xx27431110791052889,xx1589187904535115063,0
xx27431110791054076,xx1589187904535115063,0
xx27431110791054312,xx1589187904535115063,0
xx27431110791055160,xx1589187904535115063,0
xx27431110791058316,xx1589187904535115063,0
xx27431110791058347,xx1589187904535115063,0
xx27431110791060103,xx1589187904535115063,0
xx27431110791063923,xx1589187904535115063,0
xx27431110791068978,xx1589187904535115063,0
xx27431110791070205,xx1589187904535115063,0
xx27431110791073248,xx1589187904535115063,0
xx27431110791073382,xx1589187904535115063,0
xx27431110791075171,xx1589187904535115063,0
xx27431110791075701,xx1604907514869659865,0
xx27431110791077919,xx1589187904535115063,0
xx27431110791078042,xx1589187904535115063,0
xx27431110791078120,xx1589187904535115063,0
xx27431110791081757,xx1589187904535115063,0
xx27431110791082064,xx1604907514869659865,0
xx27431110791082182,xx1604907514869659865,0
xx27431110791082314,xx1589187904535115063,0
xx27431110791082562,xx1604907514869659865,0
xx27431110791082571,xx1604907514869659865,0
xx27431110791082606,xx1604907514869659865,0
xx27431110791082900,xx1604907514869659865,0
xx27431110791086060,xx1589187904535115063,0
xx27431110791086173,xx1589187904535115063,0
xx27431110791091676,xx1589187904535115063,0
xx27431110791095805,xx1589187904535115063,0
xx27431110791096494,xx1604907514869659865,0
xx27431110791098066,xx1589187904535115063,0
xx27869292,xx1589187904535115063,0
xx28530508,xx1589187904535115063,0
xx28806376,xx1589187904535115063,0
xx29585700,xx1589187904535115063,0
xx29593864,xx1589187904535115063,0
xx314855383,xx1587539503986352569,0
xx31630804,xx1587543452121029657,0
xx31630804,xx1589187904535115063,0
