jkt_time,app_lib,session_id,user_alias_id,page_type,story_id
2020-01-01 15:07:58,mweb,003e074a-91f1-48c1-acd9-7b5f3bdc0e08,44484d01-750d-493b-bbdc-1c17c8dbbdfd,detail_story,xx1577858627052916522
2020-01-01 16:34:21,mweb,130d8d7a-58c9-4bf5-b273-1fc7043e77b7,c691e2ab-922b-42ad-8842-4588aa4027ba,detail_story,xx1577858627052916522
2020-01-01 17:31:42,mweb,cec1262e-c6d2-4202-b7de-a4b29c73728c,70ab468f-e37e-4003-90b7-7c10c9788c39,detail_story,xx1577858627052916522
2020-01-01 15:00:27,mweb,b5379db5-18e2-498e-be7a-0d0f52a8dc89,bda4a38c-ab89-4478-8f9c-b6c89de0451f,detail_story,xx1577847667256558717
2020-01-01 20:37:23,mweb,48f5106a-63a9-4f50-aea8-555db0821c1e,850f00af-aa1d-477a-abf7-c082486b438a,detail_story,xx1577858627052916522
2020-01-01 20:54:03,mweb,3da1e360-d824-4f54-8bd8-ebeacaa14c79,eea8068e-d8a7-41d9-92ef-479e6dd011f2,detail_story,xx1577858627052916522
2020-01-01 16:52:17,mweb,4f177208-d2a3-4925-aed3-5124a52f8105,503d6b8b-4e47-48d0-addc-8a02c1c048cc,detail_story,xx1577847667256558717
2020-01-01 06:48:37,mweb,3cc245b1-6b9e-44a4-af1b-0a12569498e8,39920f15-baa5-4c1a-9ed1-4886c68a2dfa,detail_story,xx1577807186922312648
2020-01-01 12:15:43,mweb,5b61c8fa-b57d-458f-b150-8ff94ca5f72c,8fbdfcf9-4a1b-4f40-8467-301a22f04ca0,detail_story,xx1577847667256558717
2020-01-01 18:14:52,mweb,c4d726b0-8d3f-409f-bd38-c1ee0bfcd1f8,c22beba4-0677-4bdb-993f-75fe6cf6178a,detail_story,xx1577858627052916522
2020-01-01 19:44:55,mweb,fbf25530-933e-4aab-aa0e-f5f832deadd1,536180f5-b44f-4486-87c8-919487c9a451,detail_story,xx1577870487685196035
2020-01-01 11:56:02,mweb,08e1d0a5-7368-4f59-8ee5-338e882ae003,01d1736a-bf1c-490c-b59c-7bbeec8f125b,detail_story,xx1577845540468894907
2020-01-01 12:03:09,mweb,32701a7a-c937-4be7-a389-d914498a5905,778dc61d-7cee-4391-b545-2efb2614366e,detail_story,xx1577845540468894907
